timestamp_utc,noise_uid,scenario,profile,iteration,event_type,severity,expected_impact,target_services,source
2026-05-03T01:22:30Z,E-LOW-1,SCENARIO_E,LOW,1,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:23:18Z,E-LOW-2,SCENARIO_E,LOW,2,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:24:06Z,E-LOW-3,SCENARIO_E,LOW,3,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:24:55Z,E-LOW-4,SCENARIO_E,LOW,4,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:25:43Z,E-LOW-5,SCENARIO_E,LOW,5,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:26:31Z,E-LOW-6,SCENARIO_E,LOW,6,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:27:19Z,E-LOW-7,SCENARIO_E,LOW,7,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:28:07Z,E-LOW-8,SCENARIO_E,LOW,8,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:28:55Z,E-LOW-9,SCENARIO_E,LOW,9,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:29:43Z,E-LOW-10,SCENARIO_E,LOW,10,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:30:31Z,E-LOW-11,SCENARIO_E,LOW,11,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:31:19Z,E-LOW-12,SCENARIO_E,LOW,12,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:32:07Z,E-LOW-13,SCENARIO_E,LOW,13,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:32:55Z,E-LOW-14,SCENARIO_E,LOW,14,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:33:43Z,E-LOW-15,SCENARIO_E,LOW,15,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:34:31Z,E-LOW-16,SCENARIO_E,LOW,16,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
2026-05-03T01:35:19Z,E-LOW-17,SCENARIO_E,LOW,17,legitimate_operational_noise,benign,benign_no_attack,"health-app;telemetry-api;vulnerable-app;mqtt-broker",wazuh_localfile_json
